info,0,680
spawn,120,100,R
spawn,560,100,L
11,1,2-5
12,2,2-5
72,5-7,2-6
72,11-13,2-6
62,7,2-6
62,13,2-6
55,3-4,6
65,3-4,5
76,3,4
75,4,4
55,3-4,3
65,3-4,2
65,8-10,5
74,8-10,4
55,8-10,3
65,8-10,2
55,14-15,6
65,14-15,5
76,14-15,4
55,14-15,3
65,14-15,2
21,16,2-5
22,17,2-5
81,11,3
82,12,3
83,13,3
91,11,2
92,12,2
93,13,2
84,5,3
85,6,3
86,7,3
94,5,2
95,6,2
96,7,2
01,5-7,6
02,5-7,5
01,11-13,6
02,11-13,5
03,3,6
04,7,6
04,8,5
05,9,5
03,10,5
03,11,6
04,15,6
0.1-07-07-07-07-07-07-07-07-07-07-07-07-07-07-07-07-07-07-07-07-07-07-07-07-07-06-07-06,9,4
16,9,3
26,9,2
63,5,3
73,5,2
